локальный идентификатор записи,идентификатор владельца стены,типы вложений,ссылка,ссылка на профиль
1362,158383255,"link, ",http://www.absentiatv.ru/images/240,https://vk.com/id158383255
20676,-23801213,"photo, photo, ",nil,https://vk.com/id-23801213
20671,-23801213,"photo, ",nil,https://vk.com/id-23801213
20660,-23801213,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213
20653,-23801213,"photo, ",nil,https://vk.com/id-23801213
20652,-23801213,"album, ",nil,https://vk.com/id-23801213
20637,-23801213,"photo, ",nil,https://vk.com/id-23801213
20629,-23801213,"photo, ",nil,https://vk.com/id-23801213
930,577990,"photo, ",nil,https://vk.com/id577990
20609,-23801213,"photo, ",nil,https://vk.com/id-23801213
20601,-23801213,"video, ",nil,https://vk.com/id-23801213
20573,-23801213,"photo, page, ",nil,https://vk.com/id-23801213
20557,-23801213,"photo, ",nil,https://vk.com/id-23801213
20545,-23801213,"photo, ",nil,https://vk.com/id-23801213
20531,-23801213,"photo, ",nil,https://vk.com/id-23801213
20520,-23801213,"photo, ",nil,https://vk.com/id-23801213
20483,-23801213,"doc, poll, ",nil,https://vk.com/id-23801213
20478,-23801213,"link, ",http://www.womanhit.ru/leisure/tv/2017-10-06-stana-katik-boretsja-samneziej/,https://vk.com/id-23801213
20456,-23801213,"photo, photo, ",nil,https://vk.com/id-23801213
20447,-23801213,"photo, ",nil,https://vk.com/id-23801213
20441,-23801213,"photo, ",nil,https://vk.com/id-23801213
20421,-23801213,"photo, ",nil,https://vk.com/id-23801213
5416,207488508,"link, ",http://www.absentiatv.ru/images/226,https://vk.com/id207488508
20405,-23801213,"photo, ",nil,https://vk.com/id-23801213
40523,61865264,"link, ",http://www.absentiatv.ru/images/220,https://vk.com/id61865264
38922,242972563,"link, ",http://www.absentiatv.ru/images/219,https://vk.com/id242972563
8208,376279226,"link, ",http://www.absentiatv.ru/images/217,https://vk.com/id376279226
88335,56214881,"link, ",http://www.absentiatv.ru/images/216,https://vk.com/id56214881
3758,162961558,"link, ",http://www.absentiatv.ru/images/211,https://vk.com/id162961558
20223,-23801213,"photo, ",nil,https://vk.com/id-23801213
20218,-23801213,"video, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213
