Локальный идентификатор записи,Идентификатор владельца стены,Типы вложений,Ссылка,Ссылка на профиль,Дата
20796,-23801213,"doc, ",nil,https://vk.com/id-23801213,2017-10-30
20789,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-30
20773,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-29
3597,14203228,"photo, ",nil,https://vk.com/id14203228,2017-10-28
2568,156191650,"photo, ",nil,https://vk.com/id156191650,2017-10-27
20747,-23801213,"photo, page, ",nil,https://vk.com/id-23801213,2017-10-27
20744,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-27
301,361034444,nil,nil,https://vk.com/id361034444,2017-10-27
20737,-23801213,"photo, photo, ",nil,https://vk.com/id-23801213,2017-10-27
20726,-23801213,"video, ",nil,https://vk.com/id-23801213,2017-10-26
20717,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-26
934,577990,"photo, ",nil,https://vk.com/id577990,2017-10-26
1058,196608113,"link, ",http://www.absentiatv.ru/images/250,https://vk.com/id196608113,2017-10-25
20697,-23801213,"photo, page, ",nil,https://vk.com/id-23801213,2017-10-25
20691,-23801213,"photo, photo, photo, photo, photo, photo, doc, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213,2017-10-25
20689,-23801213,"doc, ",nil,https://vk.com/id-23801213,2017-10-25
26840,29682594,"link, ",http://www.absentiatv.ru/images/245,https://vk.com/id29682594,2017-10-25
1362,158383255,"link, ",http://www.absentiatv.ru/images/240,https://vk.com/id158383255,2017-10-24
20676,-23801213,"photo, photo, ",nil,https://vk.com/id-23801213,2017-10-24
20671,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-24
20660,-23801213,"photo, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213,2017-10-23
20653,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-23
20652,-23801213,"album, ",nil,https://vk.com/id-23801213,2017-10-23
20637,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-23
20629,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-23
20609,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-23
20601,-23801213,"video, ",nil,https://vk.com/id-23801213,2017-10-22
20573,-23801213,"photo, page, ",nil,https://vk.com/id-23801213,2017-10-20
20557,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-20
20545,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-20
20531,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-19
20520,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-19
20483,-23801213,"doc, poll, ",nil,https://vk.com/id-23801213,2017-10-18
20478,-23801213,"link, ",http://www.womanhit.ru/leisure/tv/2017-10-06-stana-katik-boretsja-samneziej/,https://vk.com/id-23801213,2017-10-18
20456,-23801213,"photo, photo, ",nil,https://vk.com/id-23801213,2017-10-17
20447,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-17
20441,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-16
20421,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-16
5416,207488508,"link, ",http://www.absentiatv.ru/images/226,https://vk.com/id207488508,2017-10-16
20405,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-16
40523,61865264,"link, ",http://www.absentiatv.ru/images/220,https://vk.com/id61865264,2017-10-12
38922,242972563,"link, ",http://www.absentiatv.ru/images/219,https://vk.com/id242972563,2017-10-12
8208,376279226,"link, ",http://www.absentiatv.ru/images/217,https://vk.com/id376279226,2017-10-12
88335,56214881,"link, ",http://www.absentiatv.ru/images/216,https://vk.com/id56214881,2017-10-12
3758,162961558,"link, ",http://www.absentiatv.ru/images/211,https://vk.com/id162961558,2017-10-10
20223,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-10-09
20218,-23801213,"video, link, ",http://vk.com/sonyscifi?w=app6187992_-23801213,https://vk.com/id-23801213,2017-10-09
11995,2868562,"link, ",http://www.absentiatv.ru/images/203,https://vk.com/id2868562,2017-10-08
5460,175907429,"link, ",http://www.absentiatv.ru/images/200,https://vk.com/id175907429,2017-10-08
2365,51053271,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id51053271,2017-10-08
20197,-23801213,"photo, link, ",http://bit.ly/2z6Dk87,https://vk.com/id-23801213,2017-10-08
1318,159223653,"link, ",http://www.absentiatv.ru/images/196,https://vk.com/id159223653,2017-10-08
2579,13396302,"link, ",http://www.absentiatv.ru/images/195,https://vk.com/id13396302,2017-10-08
2565,156191650,"link, ",http://www.absentiatv.ru/images/191,https://vk.com/id156191650,2017-10-07
2362,51053271,"photo, ",nil,https://vk.com/id51053271,2017-10-07
1233,239662467,"photo, link, ",http://www.absentiatv.ru/images/183,https://vk.com/id239662467,2017-10-07
20141,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213,2017-10-06
19472,144566191,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id144566191,2017-10-06
2046,96474368,"link, ",http://www.absentiatv.ru/images/177,https://vk.com/id96474368,2017-10-05
2045,96474368,"link, ",http://www.absentiatv.ru/images/176,https://vk.com/id96474368,2017-10-05
7996,118488752,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id118488752,2017-10-05
15860,17167290,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id17167290,2017-10-05
