Локальный идентификатор записи,Идентификатор владельца стены,Типы вложений,Ссылка,Ссылка на профиль,Дата,Участник группы,Город
201,303066994,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id303066994,2017-11-28,Да,Москва
2524,246819065,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id246819065,2017-11-26,Да,Не указан
3208,177947294,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id177947294,2017-11-26,Да,Новочеркасск
21241,-23801213,"doc, ",nil,https://vk.com/id-23801213,2017-11-26,,
5394,157445204,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id157445204,2017-11-26,Да,Москва
128,159410602,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id159410602,2017-11-25,Да,Окуловка
9984,123633575,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id123633575,2017-11-23,Да,Не указан
89,257074618,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id257074618,2017-11-23,Да,Стародуб
88,257074618,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id257074618,2017-11-23,Да,Стародуб
11096,29157674,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id29157674,2017-11-23,Да,Пермь
289,395006503,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id395006503,2017-11-23,Да,Южно-Сахалинск
3285,485618,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id485618,2017-11-22,Да,Москва
819,327586265,"photo, ",nil,https://vk.com/id327586265,2017-11-21,Да,Челябинск
4437,174305493,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id174305493,2017-11-21,Да,Камышин
2639,231232807,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id231232807,2017-11-21,Да,Белорецк
1091,281875849,nil,nil,https://vk.com/id281875849,2017-11-21,Нет,Новочеркасск
2883,165763590,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id165763590,2017-11-21,Да,Казань
2152,259802698,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id259802698,2017-11-21,Да,Кемерово
1137,382629841,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id382629841,2017-11-21,Да,Не указан
21171,-23801213,"photo, page, ",nil,https://vk.com/id-23801213,2017-11-21,,
2062,96474368,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id96474368,2017-11-21,Да,Барнаул
2925,107970966,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id107970966,2017-11-20,Да,Курск
6140,232770620,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id232770620,2017-11-20,Да,Пермь
21165,-23801213,"video, ",nil,https://vk.com/id-23801213,2017-11-20,,
1060,368550403,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id368550403,2017-11-20,Да,Междуреченский
1057,368543627,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id368543627,2017-11-20,Да,Тюмень
1253,267027944,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id267027944,2017-11-20,Да,Междуреченский
1296,267775618,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id267775618,2017-11-20,Да,Междуреченский
1071,367472446,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id367472446,2017-11-20,Да,Междуреченский
1338,263326813,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id263326813,2017-11-20,Да,Междуреченский
1158,359603038,"link, ",https://vk.com/app5671337_-23801213#312772,https://vk.com/id359603038,2017-11-20,Да,Тюмень
